Source,/home/echopen/Bureau/GitHub/electronic/kicad/Daugter_boards/DB_Supply/V1/DB_Supply_V1.sch
Kicad Rev,Eeschema 4.0.3+e1-6302~38~ubuntu16.04.1-stable
Generated Date,mer. 10 août 2016 15:15:42 CEST

Title,Not Set
Company,Not Set
Revision,Not Set
Date Issue,Not Set

Reference,Value,Library,Library Ref
U1,LM555N,linear,LM555N
C1,10n,device,C
R2,12k,device,R
R1,2.2k,device,R
D1,1N4001,device,D
C7,220u,device,C
C8,47u,device,C
C9,47u,device,C
R5,270,device,R
D5,LED,device,LED
Q1,Q2N2222,device,Q_NPN_BCE
R4,1.8k,device,R
Q2,Q2N2222,device,Q_NPN_BCE
Q3,Q2N2907,device,Q_PNP_BCE
C3,47u,device,CP
D2,1N4001,device,D
D3,1N4001,device,D
C4,47u,device,CP
C5,47u,device,CP
R3,3.3k,device,R
C2,47n,device,C
C6,47u,device,CP
P1,CONN_01X19,conn,CONN_01X19
C10,47u,device,CP
P2,CONN_01X19,conn,CONN_01X19
U2,LM2940T-12.0/NOPB,echopen,LM2940T-12.0/NOPB
U3,LM2940T-5.0/NOPB,echopen,LM2940T-5.0/NOPB
U4,LM1117T-3.3/NOPB,echopen,LM1117T-3.3/NOPB
U5,LM2990T-12.0/NOPB,echopen,LM2990T-12.0/NOPB
U6,LM2990T-5.0/NOPB,echopen,LM2990T-5.0/NOPB
